품목명	규격	라인수	수량	공급가액	내용(예시)	★적용코드	★적용품목명	출처	근거	기계후보	기계후보명	점수	수정(기입)
EP-시리즈 수성	EP1852	1	1	12700000				용준님 확정	용준님①: 수성 장비 납품건(재고 아님) — 상품 신규등록 대상				
포맥스5T외+포켓(게시판)	1700x1200mm	1	2	620000	아라미요양원	UV-FMX-5T-W	UV 포맥스 5T 백색	용준님 확정	용준님②: 포맥스 인쇄·재단 제품 — 두께별 (5T/W)				
포맥스-중국산	4*8(3T)	3	35	539500		UV-FMX-3T-W	UV 포맥스 3T 백색	용준님 확정	용준님②: 포맥스 인쇄·재단 제품 — 두께별 (3T/W)	FMX-8T-W-48	포맥스	0.409	
LT404B	122폭/50m	2	2	442800				보류	기계 후보 약함 (점수 0.35)	LGSHT-122	켈시트 LA9423NH	0.35	
아크릴 8T(검정)		1	1	280000	아라미요양원	UV-ACR-5T-B	UV 아크릴 5T 검정	자동(고신뢰)	기계 후보 (점수 0.579 · C2:아크릴/검정+C3:0.57)	UV-ACR-5T-B	UV 아크릴 5T 검정	0.579	
포맥스5T(평판인쇄)	920x2370mm	1	3	265500	태양당약국	UV-FMX-5T-W	UV 포맥스 5T 백색	용준님 확정	용준님③: 포맥스 평판인쇄로 매칭	UV-FMX-5T-W	UV 포맥스 5T 백색	0.38	
포맥스+평판인쇄		1	4	220000	디케이워시	UV-FMX-5T-W	UV 포맥스 5T 백색	용준님 확정	용준님③: 포맥스 평판인쇄로 매칭				
아크릴 5T(금밀러)		1	2	200000	아라미요양원	UV-ACR-5T-W	UV 아크릴 5T 백색	자동(고신뢰)	기계 후보 (점수 0.563 · C2:아크릴/5T+C3:0.53)	UV-ACR-5T-W	UV 아크릴 5T 백색	0.563	
LG엠보컷팅		1	20	200000		UV-EMBO	UV 엠보시트	용준님 확정	용준님④: LG 엠보시트 컷팅건				
아크릴 5T/10T외(도색)		1	1	190000	10대 서구의회	UV-ACR-5T-W	UV 아크릴 5T 백색	자동(고신뢰)	기계 후보 (점수 0.528 · C2:아크릴/5T+C3:0.44)	UV-ACR-5T-W	UV 아크릴 5T 백색	0.528	
아크릴 5T(백색)		1	1	190000	아라미요양원	UV-ACR-5T-W	UV 아크릴 5T 백색	자동(고신뢰)	기계 후보 (점수 0.693 · C2:아크릴/5T+C3:0.86)	UV-ACR-5T-W	UV 아크릴 5T 백색	0.693	
아크릴 2T+LT4029시트		1	1	190000	노랑통닭(천안신불당점)			보류	기계 후보 약함 (점수 0.332)	UV-ACR-2T-W	UV 아크릴 2T 백색	0.332	
광학산pc3T큐브박스		1	1	190000	제이다락방	UV-PC-3T-M	UV 광확산PC 3T 유백	용준님 확정	용준님⑤: 광확산PC 3T 큐브(외주)				
LD59THG	137폭	1	1	175500		LD59HTG-137	랩핑시트 LD59HTG	자동(고신뢰)	기계 후보 (점수 0.5 · C1폭+C3:0.38)	LD59HTG-137	랩핑시트 LD59HTG	0.5	
솔벤 현수막-TPM	127폭	1	135	175500	135yd*1	SVB-127	솔벤 현수막	자동(고신뢰)	기계 후보 (점수 0.991 · C1폭+C2:솔벤/현수막+C3:0.73)	SVB-127	솔벤 현수막	0.991	
스카시10T		1	1	172000				보류	기계 후보 약함 (점수 0.466)	UV-SKS-10T-W	UV 스카시 10T 백색	0.466	
아크릴 5T+5T(투명+검정)		1	1	170000	아라미요양원			보류	기계 후보 약함 (점수 0.433)	UV-ACR-5T-C	UV 아크릴 5T 투명	0.433	
포맥스5T외+포켓(게시판)	1200x1200mm	1	1	170000	아라미요양원	UV-FMX-5T-W	UV 포맥스 5T 백색	용준님 확정	용준님②: 포맥스 인쇄·재단 제품 — 두께별 (5T/W)				
솔벤클리어필름(리무벌/투명)-점착	127폭/30m	1	1	170000		CLEAR-127	클리어필름	자동(고신뢰)	기계 후보 (점수 0.538 · C1폭+C3:0.47)	CLEAR-127	클리어필름	0.538	
스카시20T/아크릴5T(도색)		1	1	153000	모노퍼피			보류	기계 후보 약함 (점수 0.37)	UV-SKS-20T-W	UV 스카시 20T 백색	0.37	
스카시10T/아크릴3T(도색)		1	1	150000				보류	기계 후보 약함 (점수 0.37)	UV-SKS-10T-W	UV 스카시 10T 백색	0.37	
포맥스15T(도색)		1	1	140000	대전정보보호지원센터			용준님 확정	용준님②: 포맥스 인쇄·재단 제품 — 두께별 (15T — MES 에 해당 두께 없음, 임의 대체 금지)				
UV 클리어필름 리무버	127폭/50m	1	1	139200	점착	CLEAR-127	클리어필름	자동(고신뢰)	기계 후보 (점수 0.776 · C1폭+C2:클리어필름+C3:0.62)	CLEAR-127	클리어필름	0.776	
엡손 솔벤잉크(80610)	CL	1	2	130000	클리너	RM-I0085	엡손솔벤잉크 80610 W	자동(고신뢰)	기계 후보 (점수 0.731 · C2:엡손/솔벤잉크+C3:0.95)	RM-I0085	엡손솔벤잉크 80610 W	0.731	
수성 텐트천-S	90폭	1	80	128000		TENT-090	수성 텐트천	자동(고신뢰)	기계 후보 (점수 1.056 · C1폭+C2:수성/텐트천+C3:0.89)	TENT-090	수성 텐트천	1.056	
스카시10T(백색+백색)		1	1	121000	아라미요양원			보류	기계 후보 약함 (점수 0.491)	UV-SKS-10T-W	UV 스카시 10T 백색	0.491	
트러스바(검정)	2950x200mm	1	1	120000		SGM-TRB	트러스바	용준님 확정	용준님⑥: 간판 자재를 상품 판매	SGM-TRB	트러스바	0.48	
솔벤 현수막-TPM	90폭	1	130	119600	130yd*1	SVB-090	솔벤 현수막	자동(고신뢰)	기계 후보 (점수 0.991 · C1폭+C2:솔벤/현수막+C3:0.73)	SVB-090	솔벤 현수막	0.991	
클리어필름-점착	127폭/50m	1	1	117500	UV투명점착	CLEAR-127	클리어필름	자동(고신뢰)	기계 후보 (점수 0.85 · C1폭+C2:클리어필름+C3:0.80)	CLEAR-127	클리어필름	0.85	
UV양면후렉스	5100x1520mm	1	1	116000	맥프라임학원			보류	기계 후보 약함 (점수 0.286)	UV-FLEXD	UV 양면배너후렉스	0.286	
스카시10T(검정+검정)		1	1	115000	아라미요양원			보류	기계 후보 약함 (점수 0.491)	UV-SKS-10T-B	UV 스카시 10T 검정	0.491	
LED 3구 (RGB)	3구	1	200	112000		SGM-LED3-WH	LED 3구 백색	자동(고신뢰)	기계 후보 (점수 0.596 · C2:LED/3구+C3:0.62)	SGM-LED3-WH	LED 3구 백색	0.596	
채널 보강대(후레임용)		2	2	106000		SGM-CRF	채널 보강대	자동(고신뢰)	기계 후보 (점수 0.617 · C2:채널/보강대+C3:0.67)	SGM-CRF	채널 보강대	0.617	
LG옥외용시트(LC6770)	1220mm	1	17	102000				보류	기계 후보 약함 (점수 0.435)	LC6770P	조명시트 LC6770P	0.435	
채널트러스바	2000x250mm	1	1	100000		SGM-TRB	트러스바	용준님 확정	용준님⑥: 간판 자재를 상품 판매				
양면코팅지(50m)	127폭	1	1	99000		HJ-YMSIDE-P127	양면코팅지(30m) 127폭	자동(고신뢰)	기계 후보 (점수 0.752 · C1폭+C2:양면코팅지+C3:0.56)	HJ-YMSIDE-P127	양면코팅지(30m) 127폭	0.752	
무광 솔벤 PVC(켈)-50m-호홍	127폭	1	1	97000		KEL-HH-127	PVC(켈)(30m)-호홍	자동(고신뢰)	기계 후보 (점수 0.94 · C1폭+C2:PVC/호홍+C3:0.60)	KEL-HH-127	PVC(켈)(30m)-호홍	0.94	
경관봉(평면)	6000x100mm	1	1	94000	제이다락방	SK-2279	평면경관봉70mm마구리	자동(고신뢰)	기계 후보 (점수 0.51 · C2:경관봉/평면+C3:0.40)	SK-2279	평면경관봉70mm마구리	0.51	
아크릴 3T(백색)		2	3	85000	아라미요양원	UV-ACR-3T-W	UV 아크릴 3T 백색	자동(고신뢰)	기계 후보 (점수 0.693 · C2:아크릴/3T+C3:0.86)	UV-ACR-3T-W	UV 아크릴 3T 백색	0.693	
아일렛(하도매)	24호/금색	2	4	80500				보류	기계 후보 약함 (점수 0.34)	ACC-045-9-S	아일렛 9호 은	0.34	
스카시20T		1	1	80000	덕은통상			보류	기계 후보 약함 (점수 0.466)	UV-SKS-20T-W	UV 스카시 20T 백색	0.466	
스카시20T+실사		1	1	80000	노랑통닭(천안신불당점)			보류	후보 없음				
