성격	품목명	규격	이카운트코드	라인수	수량	공급가액	내용(예시)	MES품목코드(기입)
자재·상품	EP-시리즈 수성	EP1852	E002	1	1	12700000		
시공·출력	채널간판+각관(조명용)	H:1400,1500mm	0-0-0004	1	10	8800000	제주SK / 바이에른 뮌헨	
시공·출력	채널간판+바		0-0-0004	2	2	4813000	1번_디케이워시(인천검단점)	
시공·출력	솔벤출력		G016	1	1	2261500	시트)영수학원외(6월1~7월10일)동산매출	
시공·출력	갈바제작(비조명)	1900x2000mm	H020	1	1	2200000	제주SK	
시공·출력	갈바제작(비조명)	2000x2000mm	H020	1	1	1900000	바이에른 뮌헨	
시공·출력	채널간판+바(적색)-완제품	7000x300mm	0-0-0004	1	1	1400000	한궁양꼬치훠거	
시공·출력	UV후렉스 출력	610*47	G013	1	25	1275000	그레이) 부여군청 비전간판	
시공·출력	조명용 후레임간판+등조립		0-0-0006	1	1	1250000		
시공·출력	간판(동산기획 정산건 매출 적용)		0-0-0002	1	1	1090000		
시공·출력	솔벤출력	500*50	G016	1	28	1078000	랩핑시트) 부여군청 비전간판-저단게시대	
시공·출력	LED 3구(백색)-조립	1w	0-0-0011	2	2210	994500		
시공·출력	현수막 출력	500*250	G002	1	16	904000	바다테마/ 수박테마	
시공·출력	채널간판+시트부착		0-0-0004	2	2	895000	유엔약국	
시공·출력	갈바후광+까치발50mm		H020	2	2	771000	공주떡집	
시공·출력	UV후렉스 출력	610*61	G013	1	11	671000	그레이) 부여군청 비전간판	
시공·출력	현수막 출력	600*70	G002	4	106	636000	게시대) 신통한의원	
자재·상품	포맥스5T외+포켓(게시판)	1700x1200mm	D602	1	2	620000	아라미요양원	
시공·출력	비조명 후레임간판	15000x1260mm	0-0-0005	1	1	605000	효문화진흥원	
시공·출력	출력용 매쉬원단	127폭/50m	C421	1	5	589000		
시공·출력	안내판		0-0-0002	1	2	560000	늑대사파리가는길,흡연구역	
자재·상품	포맥스-중국산	4*8(3T)	D605	3	35	539500		
시공·출력	채널간판+컷팅부착	80각	0-0-0004	1	1	522000	맥프라임학원	
시공·출력	가로등배너 출력	60*180	G010	1	130	520000	취업박람회	
시공·출력	솔벤출력	194*121	G016	1	14	511000	랩핑시트) 부여군청 비전간판-로고	
시공·출력	조명용 후레임간판	9000x300mm	0-0-0006	1	1	504000		
시공·출력	조명용 후레임간판	6340x1400mm	0-0-0006	1	1	497000	오렌지PC	
시공·출력	LED형광등(조립)	20w-단면	0-0-0008	4	109	468700		
시공·출력	비조명 후레임간판(각간판)	8400x1400mm	0-0-0005	1	1	467000	태양당약국	
자재·상품	LT404B	122폭/50m	C277	2	2	442800		
시공·출력	조명용 후레임간판	8000x1000mm	0-0-0006	1	1	440000	게판오분전	
시공·출력	각관 트러스+후렉스 텐션	2440x643mm	0-0-0027	1	2	440000	아우디	
시공·출력	비조명 후레임간판(3등분)	13700x900mm	0-0-0005	1	1	438000	한마음정육식당	
시공·출력	비조명 후레임간판	7300x1500mm	0-0-0005	1	1	416000	대치구문정독	
시공·출력	채널간판+컷팅부착	65각	0-0-0004	1	1	404000	맥프라임학원	
시공·출력	조명용 후레임간판	6900x900mm	0-0-0006	1	1	386000	베트남식품전문점	
시공·출력	조명용 후레임간판	5400x1400mm	0-0-0006	1	1	378000	케이케이엠	
시공·출력	비조명 후레임간판(각간판)	6500x1400mm	0-0-0005	1	1	366000	태양당약국	
시공·출력	돌출간판(비조명)/후렉스제외	800x3000mm	0-0-0007	1	1	320000		
시공·출력	비조명 후레임간판(2등분)	8500x1150mm	0-0-0005	1	1	313000	한마음정육식당	
시공·출력	조명용 후레임간판(ㄱ자)	(590+480)x2100mm	0-0-0006	1	1	310000	뉴스노래궁	
시공·출력	출력용 매쉬원단	60폭/50m	C420	1	5	299000		
자재·상품	아크릴 8T(검정)		J005	1	1	280000	아라미요양원	
시공·출력	비조명 후레임간판(2등분)	7300x1150mm	0-0-0005	1	1	269000	한마음정육식당	
자재·상품	포맥스5T(평판인쇄)	920x2370mm	G008	1	3	265500	태양당약국	
시공·출력	LG조명용시트부착	1220mm	0-0-0017	1	1	250000		
시공·출력	LED형광등(조립)	20w-웜(전구색)	0-0-0009	1	48	230400		
자재·상품	포맥스+평판인쇄		D603	1	4	220000	디케이워시	
시공·출력	조명용 후레임간판	3900x1100mm	0-0-0006	1	1	215000	회오리날다	
시공·출력	비조명 후레임간판	5500x900mm	0-0-0005	1	1	209000	마당쇠와황소장비	
시공·출력	늑대사 구역표지판		0-0-0002	1	2	200000	육돌이,오두네	
자재·상품	아크릴 5T(금밀러)		J005	1	2	200000	아라미요양원	
자재·상품	LG엠보컷팅		0-0-0021	1	20	200000		
시공·출력	채널간판(완제품)		0-0-0004	1	1	195000	제이다락방	
자재·상품	아크릴 5T/10T외(도색)		J005	1	1	190000	10대 서구의회	
시공·출력	비조명 후레임간판	5000x1000mm	0-0-0005	1	1	190000		
자재·상품	아크릴 5T(백색)		J005	1	1	190000	아라미요양원	
자재·상품	아크릴 2T+LT4029시트		J002	1	1	190000	노랑통닭(천안신불당점)	
자재·상품	광학산pc3T큐브박스		J003	1	1	190000	제이다락방	
시공·출력	UV출력	15*50	G014	1	40	180000	자석시트) 선진테크	
자재·상품	LD59THG	137폭	C238	1	1	175500		
자재·상품	솔벤 현수막-TPM	127폭	C107	1	135	175500	135yd*1	
자재·상품	스카시10T		0-0-0064	1	1	172000		
시공·출력	LED형광등-조립	20w-단면	0-0-0008	1	40	172000		
자재·상품	아크릴 5T+5T(투명+검정)		J005	1	1	170000	아라미요양원	
자재·상품	포맥스5T외+포켓(게시판)	1200x1200mm	D602	1	1	170000	아라미요양원	
자재·상품	솔벤클리어필름(리무벌/투명)-점착	127폭/30m	C135	1	1	170000		
시공·출력	현수막 출력	500*90	G002	3	22	166200	바벨1호점	
시공·출력	비조명 후레임간판	950x2150mm	0-0-0005	1	2	164000	베트남식품전문점	
시공·출력	UV후렉스 출력	10000x1600mm	G013	1	1	160000	정수산 활어회센터	
시공·출력	비조명 후레임간판	4100x900mm	0-0-0005	1	1	156000	마당쇠와황소장비	
자재·상품	스카시20T/아크릴5T(도색)		0-0-0065	1	1	153000	모노퍼피	
자재·상품	스카시10T/아크릴3T(도색)		0-0-0064	1	1	150000		
시공·출력	솔벤출력	95*200	G016	1	5	150000	전시패널(재단비포함)	
시공·출력	비조명 후레임간판	3500x1100mm	0-0-0005	1	1	146000	올바름마켓	
자재·상품	포맥스15T(도색)		D603-1	1	1	140000	대전정보보호지원센터	
자재·상품	UV 클리어필름 리무버	127폭/50m	C128	1	1	139200	점착	
시공·출력	UV후렉스 출력	13800x900mm	G013	1	1	138000	인천뮤지엄파크(보수)	
시공·출력	비조명 후레임간판	6000x600mm	0-0-0005	1	1	132000	국민생활관	
자재·상품	엡손 솔벤잉크(80610)	CL	C460	1	2	130000	클리너	
시공·출력	패트배너-출력	78.8*109.2	G001	1	8	128000	중곡	
자재·상품	수성 텐트천-S	90폭	A442	1	80	128000		
시공·출력	비조명 후레임간판	4000x900mm	0-0-0005	1	1	128000	본스튜디오	
시공·출력	현수막 출력	480*705	G002	1	1	126000	현대로뎀	
시공·출력	LG조명시트외 부착	1220mm	0-0-0017	1	1	125000		
자재·상품	스카시10T(백색+백색)		0-0-0064	1	1	121000	아라미요양원	
시공·출력	조도향상시트외(부착)		0-0-0018	1	1	120000		
시공·출력	비조명 후레임간판	420x594mm	0-0-0005	1	3	120000	천안역세권 전기공사현장 표지	
자재·상품	트러스바(검정)	2950x200mm	0-07-0002	1	1	120000		
자재·상품	솔벤 현수막-TPM	90폭	C103	1	130	119600	130yd*1	
자재·상품	클리어필름-점착	127폭/50m	C133	1	1	117500	UV투명점착	
시공·출력	조명시트(부착)		0-0-0019	3	3	116000		
자재·상품	UV양면후렉스	5100x1520mm	G013	1	1	116000	맥프라임학원	
자재·상품	스카시10T(검정+검정)		0-0-0064	1	1	115000	아라미요양원	
시공·출력	조명용 후레임간판	850x2300mm	0-0-0006	1	1	115000	뉴스노래궁	
자재·상품	LED 3구 (RGB)	3구	D919	1	200	112000		
시공·출력	채널간판(뚜껑)+실사부착	450mm	0-0-0004	1	1	109000	일리외	
시공·출력	현수막 출력	300*800	G002	1	1	108000	하얼빈의 열하루	
자재·상품	채널 보강대(후레임용)		0-0-0029	2	2	106000		
자재·상품	LG옥외용시트(LC6770)	1220mm	0-0-0017	1	17	102000		
자재·상품	채널트러스바	2000x250mm	0-07-0003	1	1	100000		
자재·상품	양면코팅지(50m)	127폭	B311-1	1	1	99000		
시공·출력	솔벤매쉬배너-출력	60*180	G005	1	7	98000	취업박람회	
자재·상품	무광 솔벤 PVC(켈)-50m-호홍	127폭	B043	1	1	97000		
