품목코드	품목명	규격	폭mm	단위	매입수량	매입액	발주건	최근발주	공급처	용도(기입)
RM-TP-CH-360540	청·홍 인쇄원단 360×540	T/P 80" · 360×540 · 2폭 이음(장당 11.81yd)		yd	9063	33533100	1	2026-01-14	정운교역	
ACC-041	황금봉	가로기/가정용/수기대		EA	9997104	31664500	5	2026-06-24	주식회사 리치코엘	
RM-TP-TGK-JR-150225	태극기 장례용 인쇄원단 150×225	75D T/P 61" · 장례용기 150×225		yd	10986	15380400	1	2026-03-26	정운교역	
GDS-FB1-CASE	국기함 보급형 케이스	보급형 · 케이스		EA	2	14522200	2	2026-03-21	에코컴퍼니	
TROPICAL-070	트로피칼	70cm · BW/2코팅	700	yd	33647	13891520	3	2026-04-15	정운교역	
TROPICAL-090	트로피칼	90cm · BW/2코팅	900	yd	29881	13094485	3	2026-04-15	정운교역	
ACC-036	수기대(깃대)	P-40/50/60 깃대만		EA	1	12840000	1	2026-04-30	유진프라스틱	
SK-105	HD-011상바			EA	520	11797000	12	2026-06-29	(주)서울경금속	
GDS-FB1-FIN	국기함 보급형 깃봉(무궁화)	보급형 · 깃대 끝 무궁화		EA	360	11793200	2	2026-06-25	에코컴퍼니	
SK-1555	LG-DPM1270mmSPM011G			EA	98	11474100	15	2026-06-15	(주)서울경금속	
SK-1615	LG-DPM1270mmSPP031M			EA	80	9167580	14	2026-06-29	(주)서울경금속	
ACC-045-9-G	아일렛 9호 금	9호·금		EA	331000	8937000	2	2026-04-15	대승 엔지니어링	
ACC-045-5-G	아일렛 5호 금	5호·금		EA	300000	6300000	2	2026-04-15	대승 엔지니어링	
RM-TP-TGK-60180-2	태극기 두폭 인쇄원단 60×180	T/P 51" · 두폭 60×180		yd	4432	5362720	1	2026-01-14	정운교역	
SATIN300-155	300D 무연새틴	155cm · BW/열승화	1550	yd	2379	5233800	1	2026-04-16	정운교역	
SK-107	HD-013카바			EA	500	5076000	12	2026-06-29	(주)서울경금속	
SK-1556	LG-DPM1050mmSPP031M			EA	52	5060060	9	2026-06-11	(주)서울경금속	
RM-TP-TGKH-6090-2	태극기 가로기 두폭 인쇄원단 60×90	T/P 51" · 가로기 두폭 60×90		yd	3928	4752880	1	2026-03-25	정운교역	
SK-1612	LG-DPM1050mmSPM011G			EA	47	4545140	12	2026-06-29	(주)서울경금속	
SK-26474	YESLED형광등20W(보급형)/박스검정	1BOX-50EA		EA	2400	4132000	6	2026-06-29	(주)서울경금속	
SK-26303	LG-DPM1370mmLD59HTG			EA	22	3614400	9	2026-06-25	(주)서울경금속	
SK-1614	LG-DPM1520mmSPM011G			EA	23	3268780	10	2026-06-16	(주)서울경금속	
SK-934	LG시트-LT4071(122폭)			EA	14	2846900	6	2026-06-05	(주)서울경금속	
SGM-IPB-JD	입체바 옥색	80mm*3m		EA	680	2748000	5	2026-03-06	(주)엘이디포유	
AQ1-120	수성 현수막원단 1코팅	120cm	1200	yd	3662	2739240	2	2026-06-02	운산직물	
