일자	구분	품명	규격	수량	단가	공급가
2026-05-15	외출	현수막월단(보급)	90폭	1828	330	603240
2026-05-15	외출	현수막월단(고급)	40폭	671	310	208010
2026-05-15	외출	현수막월단(고급)	50폭	1344	350	470400
2026-05-15	외출	현수막월단(고급)	60폭	1306	420	548520
2026-05-15	외출	현수막월단(고급)	70폭	4789	480	2298720
2026-05-15	외출	현수막월단(고급)	80폭	1307	500	653500
2026-05-15	외출	현수막월단(고급)	90폭	5183	510	2643330
2026-05-15	외출	현수막월단(고급)	100폭	1308	720	941760
2026-05-15	외출	현수막월단(고급)	106폭	390	750	292500
2026-05-15	외출	현수막월단(고급)	110폭	660	770	508200
2026-05-15	외출	현수막월단(고급)	120폭	648	870	563760
2026-05-15	외출	현수막월단(고급)	127폭	390	900	351000
2026-05-15	외출	현수막월단(고급)	130폭	390	900	351000
2026-05-15	외출	현수막월단(고급)	140폭	400	1030	412000
2026-05-15	외출	현수막월단(고급)	152폭	620	1040	644800
2026-05-15	외출	현수막월단(고급)	160폭	360	1140	410400
2026-05-15	외출	현수막월단(고급)	170폭	240	1140	273600
2026-05-15	외출	현수막월단(고급)	180폭	600	1140	684000
2026-05-15	외출	부직포	60폭	70	1020	71400
2026-05-15	외출	부직포	90폭	50	1440	72000
2026-05-15	외출	부직포	127폭	100	2220	222000
2026-05-15	외출	부직포	152폭	60	2340	140400
2026-05-15	외출	부직포	180폭	50	2820	141000
2026-05-15	외출	현수막월단	90폭	1300	440	572000
2026-05-15	외출	현수막월단	70폭	2600	410	1066000
2026-05-15	반입	현수막월단(고급)	127폭	-130	900	-117000
