품목코드,품목명,변동최소기준(참고),면적구간,표본수,거래처수,중앙값(원/m2),Q1,Q3,변동(IQR/중앙),제안 m2단가,현재 base_price,규격없음라인,상태,활성
AQ-BANNER,수성 현수막,실면적,0 <=0.25m2,32,3,14600,13300,25000,0.80,14600,1800,117,운영중(대조용),
AQ-BANNER,수성 현수막,실면적,1 0.25~1m2,314,11,5000,4000,7300,0.66,5000,1800,117,운영중(대조용),
AQ-BANNER,수성 현수막,실면적,2 1~2m2,745,26,3100,2500,3700,0.39,3100,1800,117,운영중(대조용),
AQ-BANNER,수성 현수막,실면적,3 2~4m2,1248,57,2100,1700,2800,0.52,2100,1800,117,운영중(대조용),
AQ-BANNER,수성 현수막,실면적,4 4~8m2,2464,95,1600,1300,2000,0.44,1600,1800,117,운영중(대조용),
AQ-BANNER,수성 현수막,실면적,5 8~16m2,639,55,3000,2500,3500,0.33,3000,1800,117,운영중(대조용),
AQ-BANNER,수성 현수막,실면적,6 16m2+,892,83,3100,3000,3500,0.16,3100,1800,117,운영중(대조용),
AQ-BKLT,수성 백릿,청구면적,1 0.25~1m2,2,1,11000,11000,13000,0.18,,16000,0,운영중(대조용),
AQ-BKLT,수성 백릿,청구면적,2 1~2m2,9,2,16000,15000,18300,0.21,16000,16000,0,운영중(대조용),
AQ-BKLT,수성 백릿,청구면적,3 2~4m2,3,1,18100,16700,18200,0.08,18100,16000,0,운영중(대조용),
AQ-BUJIK,수성 부직포,청구면적,1 0.25~1m2,6,2,1300,900,4000,2.38,1300,4000,1,운영중(대조용),
AQ-BUJIK,수성 부직포,청구면적,2 1~2m2,1,1,4500,4500,4500,0.00,,4000,1,운영중(대조용),
AQ-BUJIK,수성 부직포,청구면적,3 2~4m2,2,1,1300,1300,4300,2.31,,4000,1,운영중(대조용),
AQ-BUJIK,수성 부직포,청구면적,4 4~8m2,2,1,6000,6000,8000,0.33,,4000,1,운영중(대조용),
AQ-INB,수성 실내배너,동등,2 1~2m2,90,25,5600,3900,6700,0.50,5600,5600,0,운영중(대조용),
AQ-KEL,수성 켈,청구면적,1 0.25~1m2,8,2,8000,1500,10000,1.06,8000,10000,0,운영중(대조용),
AQ-KEL,수성 켈,청구면적,2 1~2m2,19,3,10000,7100,11800,0.47,10000,10000,0,운영중(대조용),
AQ-KEL,수성 켈,청구면적,3 2~4m2,14,2,11900,9700,13600,0.33,11900,10000,0,운영중(대조용),
AQ-KEL,수성 켈,청구면적,4 4~8m2,3,1,11200,9800,11700,0.17,11200,10000,0,운영중(대조용),
AQ-MNB,수성 미니배너,동등,1 0.25~1m2,8,5,4000,4000,4000,0.00,4000,4000,0,운영중(대조용),
AQ-PAT,수성 패트,청구면적,1 0.25~1m2,71,7,7200,5000,8000,0.42,7200,6700,13,운영중(대조용),
AQ-PAT,수성 패트,청구면적,2 1~2m2,530,70,6700,5600,6700,0.16,6700,6700,13,운영중(대조용),
AQ-PAT,수성 패트,청구면적,3 2~4m2,34,3,11700,10000,14000,0.34,11700,6700,13,운영중(대조용),
AQ-PAT,수성 패트,청구면적,4 4~8m2,1,1,4100,4100,4100,0.00,,6700,13,운영중(대조용),
AQ-PAT,수성 패트,청구면적,5 8~16m2,1,1,800,800,800,0.00,,6700,13,운영중(대조용),
AQ-SASH,수성 어깨띠,실면적,0 <=0.25m2,14,2,16200,13900,16700,0.17,16200,1800,0,운영중(대조용),
AQ-SASH,수성 어깨띠,실면적,1 0.25~1m2,9,1,16700,13300,20800,0.45,16700,1800,0,운영중(대조용),
AQ-SASH,수성 어깨띠,실면적,2 1~2m2,1,1,2100,2100,2100,0.00,,1800,0,운영중(대조용),
AQ-SYN,수성 합성지,실면적,0 <=0.25m2,18,1,22200,19000,24000,0.23,22200,5000,0,운영중(대조용),
