품목코드,품목명,카테고리,유형,방식,단위,활성,판매이력라인,원가(avg_unit_cost),참조마진,마진출처,마진IQR,제안가(원가×마진 100원반올림)
ACC-013,배너대 조립(조당),상품,GOODS,FIXED,EA,,2,0,,원가 없음(매입이력 0),,
ACC-013-S60X180,배너대 조립(조당) 60×180,상품,GOODS,FIXED,EA,,16,0,,원가 없음(매입이력 0),,
ACC-013-S60X220,배너대 조립(조당) 60×220,상품,GOODS,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
ACC-016,윈드배너 부품(크로스/베이스),상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-019,윈드배너 폴세트,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-020,패트배너 거치대,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-021,가로등배너대(마개/클램프),상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-022,윈드배너 스파이크,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-023,자이언트배너 폴세트,상품,GOODS,FIXED,EA,,4,95000,1.67,"카테고리(상품, n=34)",1.47~1.79,158800
ACC-024,복배너 중앙대,상품,GOODS,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
ACC-025,빅폴 SET,상품,GOODS,FIXED,EA,,1,35000,1.67,"카테고리(상품, n=34)",1.47~1.79,58500
ACC-027,실외 철제배너 물통SET(TSO),상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-029-1260,까치발 1260mm,상품,PRODUCT,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
ACC-029-1300,까치발 1300mm,상품,GOODS,FIXED,EA,,3,4960,1.67,"카테고리(상품, n=34)",1.47~1.79,8300
ACC-029-150,까치발 150mm,상품,GOODS,FIXED,EA,,4,0,,원가 없음(매입이력 0),,
ACC-029-1600,까치발 1600mm,상품,GOODS,FIXED,EA,,7,5670,1.67,"카테고리(상품, n=34)",1.47~1.79,9500
ACC-029-1700,까치발 1700mm,상품,GOODS,FIXED,EA,,1,5960,1.67,"카테고리(상품, n=34)",1.47~1.79,10000
