분류,품목코드,품목명,방식,단위,라인수,거래처수,단가종류,제안단가(중앙값),Q1,Q3,최소,최대,변동(IQR/중앙값)
C_판단필요,AQ-BANNER,수성 현수막,AREA,원/㎡,6335,130,92,1800,1300,3000,100,47200,0.944
B_배율필요,SV-SHEET,솔벤 시트,AREA,원/㎡,1306,28,137,10000,8900,11700,200,35300,0.280
A_자동확정,ETC-SHIP,배송비(택배/화물),FIXED,원/개,1285,97,19,4200,4200,4200,2700,313060,0.000
C_판단필요,TRG-PO,전사 깃발 폰지,AREA,원/㎡,1155,101,108,5000,3600,6700,600,46400,0.620
B_배율필요,SV-BANNER,솔벤 현수막,AREA,원/㎡,1073,48,83,7100,7000,9000,900,80000,0.282
B_배율필요,AQ-PAT,수성 패트,AREA,원/㎡,637,70,78,6700,5600,7200,300,21800,0.239
B_배율필요,UV-FLEXL,UV 조명후렉스,AREA,원/㎡,429,43,60,10000,8000,10000,2400,67000,0.200
A_자동확정,SV-SHEETG,솔벤 그레이시트,AREA,원/㎡,336,12,82,10500,9800,11300,100,20500,0.143
C_판단필요,SIGN-CH,채널간판,FIXED,원/개,253,4,199,340000,190000,732000,30000,9400000,1.594
B_배율필요,TGK-7G,태극기 7호 게양용,FIXED,원/개,201,54,18,3000,2500,3600,2000,11000,0.367
B_배율필요,UV-SHEET,UV 시트,AREA,원/㎡,181,5,74,7900,6600,9300,400,30000,0.342
C_판단필요,UV-FMX-3T-W,UV 포맥스 3T 백색,AREA,원/㎡,149,5,103,16900,10000,25600,900,360000,0.923
B_배율필요,ACC-011,실외배너 물통SET(복배너),FIXED,원/개,136,22,13,15000,13000,17000,11000,25000,0.267
B_배율필요,AQ2-090,수성 현수막원단 2코팅,FIXED,원/개,128,16,15,540,490,610,450,959,0.222
B_배율필요,TRW-PO-S,전사 윈드배너 폰지 S형,AREA,원/㎡,125,13,32,5600,5000,6100,2500,24500,0.196
B_배율필요,SV-MESH,솔벤 매쉬,AREA,원/㎡,115,17,28,7800,6700,10000,1700,20600,0.423
A_자동확정,AQ2-070,수성 현수막원단 2코팅,FIXED,원/개,110,10,16,470,470,540,420,900,0.149
C_판단필요,ETC-EXP,긴급배송(용달/퀵),FIXED,원/개,110,8,32,22000,9000,90000,7000,180000,3.682
B_배율필요,TGK-8,태극기 8호,FIXED,원/개,106,18,14,1500,1000,1500,850,8000,0.333
C_판단필요,UV-FMX-2T-W,UV 포맥스 2T 백색,AREA,원/㎡,103,4,58,15000,5000,23500,2000,13930000,1.233
B_배율필요,PAT-127,패트배너 30M 호홍,FIXED,원/개,103,5,30,53000,48000,60000,39000,128000,0.226
C_판단필요,UV-FMX-5T-W,UV 포맥스 5T 백색,AREA,원/㎡,99,5,71,17100,10000,29200,2000,113500,1.123
C_판단필요,UV-FOM-5T-W,UV 폼보드 5T 백색,AREA,원/㎡,99,3,65,18500,10000,24600,900,44200,0.789
B_배율필요,AQ-INB,수성 실내배너,AREA,원/㎡,90,25,12,5600,3900,6700,2800,13900,0.500
B_배율필요,TRB-PO-150,전사 가로등배너 폰지 60×150,FIXED,원/개,89,28,11,5000,4000,5000,2500,16000,0.200
B_배율필요,TRWK-ME-S,전사 워킹배너 매쉬 S형,AREA,원/㎡,86,1,4,6900,6200,8200,6200,8200,0.290
A_자동확정,UV-FLEXN,UV 비조명후렉스,AREA,원/㎡,82,10,24,10000,9400,10000,5000,28000,0.060
C_판단필요,SIGN-FRN,비조명 프레임간판(신규 제작),FIXED,원/개,80,2,60,342000,187000,469000,40000,2200000,0.825
