id,date,amount,counterpart,memo,category,action
713,20260701,20000000,"길창호(운산직물)","HanaCBS","A.★매입지급(진성)","purchase_payment 생성·연결"
1093,20260710,13095291,"호홍6월외상대출금","HanaCBS","A.★매입지급(진성)","purchase_payment 생성·연결"
809,20260707,177767,"케이엠테크5월상품대","HanaCBS","A.★매입지급(진성)","purchase_payment 생성·연결"
709,20260701,18700,"경원GH외상매입금출금","HanaCBS","A.★매입지급(진성)","purchase_payment 생성·연결"
2822,20260714,187000,"TPM샘물광고기계판매운송","HanaCBS","B.매입처 운송비","비용:운반비"
2926,20260602,132000,"서울경금속간판자재운송비","2026/06/02-3","B.매입처 운송비","비용:운반비"
2840,20260624,77000,"위드무주-동산기획외상대 출금","2026/06/24-3","C.내부/기타 외상대","확인要"
3023,20260511,2679300,"한화생명05012","2026/05/11-15","D.보험료","비용:보험"
3130,20260410,2679300,"한화생명04011","2026/04/10-16","D.보험료","비용:보험"
3266,20260310,2679300,"한화생명03010","2026/03/10-11","D.보험료","비용:보험"
3359,20260210,2679300,"한화생명02009","강제회계반영","D.보험료","비용:보험"
3439,20260112,2679300,"한화생명01008","2026/01/12-7","D.보험료","비용:보험"
3160,20260406,1500000,"하나생04016","2026/04/06-10","D.보험료","비용:보험"
3279,20260305,1500000,"하나생03015","2026/03/05-3","D.보험료","비용:보험"
3376,20260205,1500000,"하나생02014","2026/02/05-4","D.보험료","비용:보험"
3462,20260105,1500000,"하나생01013","2026/01/05-2","D.보험료","비용:보험"
2859,20260616,970000,"옥외광고물배상책임보험","2026/06/16-3","D.보험료","비용:보험"
3337,20260213,93650,"서울보증료(이용료)","2026/02/13-5","D.보험료","비용:보험"
3270,20260306,15000,"대출연장건보증료","2026/03/06-1","D.보험료","비용:보험"
994,20260710,7256860,"2606사회보험","둔산금융센터","E.4대보험","비용:인건비(4대보험)"
3363,20260210,4028890,"2601사회보험","2026/02/10-2","E.4대보험","비용:인건비(4대보험)"
