매입품목명,라인수,금액,items후보(참고),최종지정코드(빈칸=기타)
EP-시리즈 전사(피더기 포함) [EP1852],1,11000000,,
실외배너 물통SET(복배너) [60*180],2,3535000,ACC-011:실외배너 물통SET(복배너) / ACC-024:복배너 중앙대,
실내배너 일자형(W) [60*180],2,3330000,,
LED형광등 [28w-양면(돌출)],4,2600000,SGM-LEDF-F28D:LED형광등 28W양면돌출 / SGM-LEDF-F20S:LED형광등 20W단면,
LED 3구(백색) [1w],5,2450000,SGM-LEDF-F28D:LED형광등 28W양면돌출 / SGM-LEDF-F20S:LED형광등 20W단면,
하바,3,2096000,,
카바,5,2088000,,
조도향상시트(LDJ90DF) [1220mm],1,1737000,LDJ90DF-122:조도향상시트 LDJ90DF,
LED형광등 [20w-단면],2,1700000,SGM-LEDF-F28D:LED형광등 28W양면돌출 / SGM-LEDF-F20S:LED형광등 20W단면,
광확산PC1.8T [1220*2420],2,1675000,PC-2T-M-48:광확산PC / PC-3T-M-48:광확산PC,
E4 엠보 무광(45m/200g) [127폭],1,1582500,JG-E4-P60:E4 엠보 무광(45m/200 / JG-E4-P90:E4 엠보 무광(45m/200,
SPP031M [150폭],8,1494700,SPP031M-090:무광코팅지 SPP031M / SPP031M-105:무광코팅지 SPP031M,
무광코팅지 일반엠보(45m/180g) [127폭],1,1470000,SPP031M-090:무광코팅지 SPP031M / SPP031M-105:무광코팅지 SPP031M,
트러스바 [400mm*7m/검정],2,1455000,SGM-TRW-BK:트러스바 날개 흑색 / SGM-TRW-WH:트러스바 날개 백색,
수성-현수막(장폭) [250폭],1,1449000,AQ-BANNER:수성 현수막 / RM-I0011:현수막 잉크-C,
채널용 입체바 [흑색/80mm*3m],3,1440000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
LD59THG [137폭],4,1368960,,
5mm볼로프,1,1240000,ACC-037-4MM:볼로프 4mm / ACC-037-5MM:볼로프 5mm,
SPM011G [150폭],7,1109340,SPM011G-090:일반시트 SPM011G / SPM011G-105:일반시트 SPM011G,
알마이트2T-검정 [4*8],1,990000,UV-ALM-2T-S:UV 알마이트 2T 은색 / ALM-2T-S-48:알마이트,
