매입품목명,라인수,금액,상태,제안코드,최종지정
광확산PC1.8T [1220*2420],2,1675000,미상,?,
SPP031M [150폭],8,1494700,미상,?,
수성-현수막(장폭) [250폭],1,1449000,미상,?,
채널용 입체바 [흑색/80mm*3m],3,1440000,미상,?,
LD59THG [137폭],4,1368960,미상,?,
SPM011G [150폭],7,1109340,미상,?,
알마이트2T-검정 [4*8],1,990000,미상,?,
채널용 입체바 [백색/80mm*3m],2,960000,미상,?,
부직포-S [127폭],4,888000,미상,?,
수성-현수막(장폭) [320폭],1,848300,미상,?,
사각족자봉 [3m],1,847000,미상,?,
15각 파이프,4,770000,미상,?,
알마이트2T(단면/백색) [1220*2420],1,760000,미상,?,
알마이트2T-백색 [4*8],1,760000,미상,?,
타카핀 [4mm],1,720000,미상,?,
광확산PC1.8T,1,670000,미상,?,
알마이트2T(단면/검정) [1220*2420],1,660000,미상,?,
채널용 캡바 [흑색/25mm*3m],4,656000,미상,?,
물본드,3,640000,미상,?,
E26T 유광(45m/200g) [127폭],1,577500,미상,?,
LG조명용시트(켈/LA9423NH) [1220mm],1,550000,미상,?,
양면코팅지(50m) [127폭],2,514500,미상,?,
원형나무 [90폭(20mm)],12,493250,미상,?,
채널용 캡바 [백색/25mm*3m],4,492000,미상,?,
솔벤 텐트천(300D) [320폭],1,478800,미상,?,
부직포-S [90폭],3,432000,미상,?,
알마이트2T-검정 [3*6],1,396000,미상,?,
솔벤용 코팅지-50m [127폭],1,394000,미상,?,
타카핀 [6mm],1,390000,미상,?,
알루미늄판-백색 [3*6],2,384000,미상,?,
알마이트2T,1,380000,미상,?,
알마이트2T [1220*2420],1,380000,미상,?,
알마이트2T(백색),1,380000,미상,?,
19각 파이프,4,372000,미상,?,
솔벤 텐트천(300D) [200폭],1,369000,미상,?,
솔벤 텐트천(300D) [250폭],1,364200,미상,?,
큐방-원터치 [40￠/1봉(250개)],2,350000,미상,?,
광확산PC1.8T [4*8],1,335000,미상,?,
채널용 입체바 [백색/100mm*3m],1,320000,미상,?,
포인트원형돌출 [500Φ],2,308000,미상,?,
깃발천-S [70폭],2,302400,미상,?,
사각족자봉,2,300000,미상,?,
채널 보강대,1,294000,미상,?,
솔밴매쉬-배너 [127폭],2,291607,미상,?,
채널용 입체바 [녹색/80mm*3m],1,288000,미상,?,
채널용 입체바 [주황색/80mm*3m],2,288000,미상,?,
채널용 입체바 [진청색/80mm*3m],1,288000,미상,?,
채널용 입체바 [황색/80mm*3m],2,288000,미상,?,
스텐원형돌출 [500Φ],2,285000,미상,?,
부직포 [180폭],2,282000,미상,?,
LM5400(보급형) [137폭],1,279830,미상,?,
윈드배너 물통형-SET(소) [76*180],3,266000,미상,?,
미러천 [90폭],1,262500,미상,?,
부직포 [150폭],2,257400,미상,?,
부직포-S [60폭],2,255000,미상,?,
채널용 캡바 [진청색/25mm*3m],3,246000,미상,?,
원형족자봉 [16Ø],1,231000,미상,?,
용달운임,2,220000,미상,?,
블랙아웃 패트 [127],1,194000,미상,?,
채널용 입체바 [밤색/80mm*3m],2,192000,미상,?,
채널용 입체바 [연청색/80mm*3m],1,192000,미상,?,
채널용 입체바 [진핑크/80mm*3m],1,192000,미상,?,
채널용 입체바 [진회색/80mm*3m],1,192000,미상,?,
상코너,3,180000,미상,?,
싸인탑날개 [1box-200ea],3,180000,미상,?,
까치발 [900mm],1,172800,미상,?,
채널용 캡바 [주황색/25mm*3m],2,164000,미상,?,
양면코팅지(30m) [127폭],1,162000,미상,?,
솔벤 캠퍼스 [127폭/20m],1,158000,미상,?,
스카시20T-검정 [3*6],2,149500,미상,?,
발통 [500mm],1,148680,미상,?,
스카시10T-검정 [3*6],2,142090,미상,?,
까치발 [1200mm],1,140100,미상,?,
족자봉 쫄대 [5mm],1,140000,미상,?,
포인트원형돌출 [600Φ],1,136500,미상,?,
까치발 [1000mm],2,123900,미상,?,
양면 테이프(판형) [1T],1,113000,미상,?,
실리콘 [백색],2,112500,미상,?,
고무자석시트-차량용(0.8T) [100폭/10m],1,110000,미상,?,
스카시10T-백색 [3*6],2,109300,미상,?,
까치발 [800mm],1,108000,미상,?,
후판 [90cm],1,108000,미상,?,
후판 [170cm],1,106250,미상,?,
채널 지지대,1,105000,미상,?,
원형족자봉 [21Ø],1,104000,미상,?,
스카시30T-검정 [3*6],1,100650,미상,?,
사각족자봉 마개 [크롬],1,100000,미상,?,
채널용 입체바 [연회색/80mm*3m],1,96000,미상,?,
투광기 파이프-ㅡ자형/백색 [700mm],1,96000,미상,?,
까치발 [600mm],1,95700,미상,?,
자이언트 폴SET(대) [6m/120*400],1,95000,미상,?,
채널 지지대 [72mm],1,95000,미상,?,
울트라보조시트 [100폭/50m/75g],1,93240,미상,?,
비조명후렉스 [100],1,90000,미상,?,
수성 백릿-프라임 [127폭],1,87000,미상,?,
채널용 캡바 [녹색/25mm*3m],1,82000,미상,?,
채널용 캡바 [밤색/25mm*3m],1,82000,미상,?,
채널용 캡바 [연청색/25mm*3m],1,82000,미상,?,
채널용 캡바 [적색/25mm*3m],1,82000,미상,?,
채널용 캡바 [진핑크/25mm*3m],1,82000,미상,?,
채널용 캡바 [진회색/25mm*3m],1,82000,미상,?,
채널용 캡바 [황색/25mm*3m],1,82000,미상,?,
후판 [130cm],1,81250,미상,?,
잉크(CMY) [3리터],1,81000,미상,?,
울트라 칼라시트-(내부용) SC-2701 [100폭/흰색/무광],1,80500,미상,?,
까치발 [400mm],1,79800,미상,?,
돼지표본드 [3kg],1,78900,미상,?,
까치발 [1400mm],1,78000,미상,?,
채널바 옆마구리 [200mm*100mm/백색],2,76500,미상,?,
45도 보강대 [1box-1000ea],1,75000,미상,?,
발통-700 [1box=5ea],1,73750,미상,?,
직결피스 [1box-12000ea],1,73200,미상,?,
쌍클립,1,72000,미상,?,
후판 [120cm],1,72000,미상,?,
까치발 [300mm],1,70800,미상,?,
빅폴 SET [150*140~240],1,70000,미상,?,
프레임타카핀 710,1,68000,미상,?,
발통-400 [1box=6ea],1,67260,미상,?,
까치발 [1900mm],1,66100,미상,?,
무광인화지 [127폭],1,65000,미상,?,
하코너,1,60000,미상,?,
후판 [100cm],1,60000,미상,?,
까치발 [1700mm],1,59600,미상,?,
스텐원형돌출 [600Φ],1,59500,미상,?,
도안지 [125폭],1,58000,미상,?,
채널바 옆마구리 [300mm*100mm/검정],1,56000,미상,?,
스카시10T-검정,1,54650,미상,?,
고무자석시트-일반(0.8T) [60폭/10m],1,53000,미상,?,
까치발 [700mm],1,50550,미상,?,
채널바 옆마구리 [250mm*100mm/백색],1,49000,미상,?,
투광기 파이프-ㅡ자형/검정 [700mm],1,48000,미상,?,
인두기(열재단) [나무손잡이],1,45000,미상,?,
채널바 옆마구리 [200mm*100mm/검정],1,45000,미상,?,
실리콘 [투명],1,42500,미상,?,
채널바 옆마구리 [400mm*100mm/검정],1,38500,미상,?,
사각족자봉 마개 [그레이],1,35000,미상,?,
원형나무 [70폭(20mm)],2,31000,미상,?,
폼보드 [4*8(5T)],1,28500,미상,?,
하도매 기계(손기계) [수동],1,28000,미상,?,
잉크(K) [1리터],1,27000,미상,?,
채널바 옆마구리 [200mm*100mm/연회색],1,22500,미상,?,
채널바 옆마구리 [150mm*100mm/백색],1,20500,미상,?,
채널바 옆마구리 [150mm*100mm/연회색],1,20500,미상,?,
하도매 자동몰드 [24호(12파이)],1,20000,미상,?,
자동몰드 [9호],1,19000,미상,?,
사각족자봉 [94cm],1,17000,미상,?,
원형족자봉 마개/은색 [16Ø],1,10800,미상,?,
채널바 옆마구리/미사용 반품 [200mm*113mm/백색],1,-49000,미상,?,
알마이트2T-검정,1,-990000,미상,?,
무광 코팅지 자동용(61m/120g)-호홍 [127폭],6,6672700,확실,MCP120-127,
상바,5,5040000,확실,SGM-SB,
