매입품목명,라인수,금액,상태,매칭코드/제안,items명,최종지정코드(빈칸=수정)
현수막 2코팅-S [90폭],20,22997850,정확(폭),AQ2-090,수성 현수막원단 2코팅,
현수막 2코팅-S [70폭],27,20155280,정확(폭),AQ2-070,수성 현수막원단 2코팅,
현수막 1코팅-S [70폭],20,16424680,정확(폭),AQ1-070,수성 현수막원단 1코팅,
현수막 1코팅-S [90폭],18,16359600,정확(폭),AQ1-090,수성 현수막원단 1코팅,
SPM011G [127폭],20,14314700,폭불일치-확인,SPM011G-090,일반시트 SPM011G,
SPP031M [127폭],18,12650100,폭불일치-확인,SPP031M-090,무광코팅지 SPP031M,
현수막 1코팅-S [120폭],15,12573170,정확(폭),AQ1-120,수성 현수막원단 1코팅,
현수막 2코팅-S [180폭],14,12320260,정확(폭),AQ2-180,수성 현수막원단 2코팅,
EP-시리즈 전사(피더기 포함) [EP1852],1,11000000,미매칭,,,
현수막 2코팅-S [152폭],14,9850180,폭미등록,AQ2-152(미등록),,
친환경 현수막-eco [70폭],5,9707880,애매(폭없음/대표),ECB,,
현수막 2코팅-S [120폭],11,9614040,정확(폭),AQ2-120,수성 현수막원단 2코팅,
현수막 1코팅-S [152폭],15,8643940,폭미등록,AQ1-152(미등록),,
패트배너(30m)-호홍 [127폭],11,8556500,미매칭,PAT-060,패트배너 30M 호홍 (후보),
친환경 현수막-TPM [70폭],5,8274640,애매(폭없음/대표),ECB,,
현수막 1코팅-S [180폭],14,7778000,정확(폭),AQ1-180,수성 현수막원단 1코팅,
무광 코팅지 자동용(61m/120g)-호홍 [127폭],6,6672700,미매칭,,,
PVC(켈)(30m)-호홍 [127폭],11,6192940,미매칭,KEL-060,켈 30M 호홍 (후보),
저밀도 게릴라 현수막-S [90폭],9,5977920,정확(폭),AQD-090,수성 현수막원단 저밀도,
현수막 1코팅-S [95폭],6,5817600,정확(폭),AQ1-095,수성 현수막원단 1코팅,
현수막 1코팅-S [100폭],9,5372180,정확(폭),AQ1-100,수성 현수막원단 1코팅,
상바,5,5040000,미매칭,,,
현수막 2코팅-S [100폭],7,4931760,정확(폭),AQ2-100,수성 현수막원단 2코팅,
SPM011G [105폭],12,4607000,폭불일치-확인,SPM011G-090,일반시트 SPM011G,
SPP031M [105폭],7,3946950,폭불일치-확인,SPP031M-090,무광코팅지 SPP031M,
현수막 2코팅-S [160폭],7,3928250,정확(폭),AQ2-160,수성 현수막원단 2코팅,
합성지 그레이(30m)-호홍 [127폭],8,3553200,미매칭,SYNG-060,합성지그레이 30M 호홍 (후보),
실외배너 물통SET(복배너) [60*180],2,3535000,미매칭,ACC-011,실외배너 물통SET(복배너) (후보),
SPE030A [137폭],6,3528960,정확(코드),SPE030A-137,옥외 랩핑시트 SPE030A,
친환경 현수막- GRS [70폭],2,3414775,애매(폭없음/대표),ECB,,
실내배너 일자형(W) [60*180],2,3330000,미매칭,,,
현수막 2코팅-S [110폭],7,3194340,정확(폭),AQ2-110,수성 현수막원단 2코팅,
현수막 2코팅-S [127폭],8,3063750,정확(폭),AQ2-127,수성 현수막원단 2코팅,
현수막 2코팅-S [60폭],6,3054520,정확(폭),AQ2-060,수성 현수막원단 2코팅,
현수막 1코팅-S [110폭],6,2726000,정확(폭),AQ1-110,수성 현수막원단 1코팅,
현수막 2코팅-S [130폭],6,2612950,정확(폭),AQ2-130,수성 현수막원단 2코팅,
LED형광등 [28w-양면(돌출)],4,2600000,미매칭,SGM-LEDF-F28D,LED형광등 28W양면돌출 (후보),
현수막 2코팅-S [80폭],6,2568720,정확(폭),AQ2-080,수성 현수막원단 2코팅,
현수막 1코팅-S [127폭],6,2529780,정확(폭),AQ1-127,수성 현수막원단 1코팅,
LED 3구(백색) [1w],5,2450000,미매칭,SGM-LED3-WH,LED 3구 백색 (후보),
현수막 1코팅-S [137폭],4,2445000,정확(폭),AQ1-137,수성 현수막원단 1코팅,
현수막 1코팅-S [60폭],6,2438820,정확(폭),AQ1-060,수성 현수막원단 1코팅,
솔벤 현수막-TPM [250폭],2,2422900,미매칭,SV-BANNER,솔벤 현수막 (후보),
솔벤 현수막-TPM [320폭],2,2410550,미매칭,SV-BANNER,솔벤 현수막 (후보),
현수막 1코팅-S [80폭],6,2284290,정확(폭),AQ1-080,수성 현수막원단 1코팅,
현수막 2코팅-S [170폭],5,2229460,정확(폭),AQ2-170,수성 현수막원단 2코팅,
수성잉크 Y,1,2160000,미매칭,,,
현수막 1코팅-S [160폭],4,2128000,정확(폭),AQ1-160,수성 현수막원단 1코팅,
하바,3,2096000,미매칭,,,
카바,5,2088000,미매칭,,,
LT4071M [122폭],6,2033500,정확(코드),LT4071M,조명시트 LT4071M,
수성 현수막 [320폭],1,2018400,미매칭,AQ-BANNER,수성 현수막 (후보),
LT4080M [122폭],7,2004500,정확(코드),LT4080M,조명시트 LT4080M,
현수막 2코팅-S [50폭],7,1964500,정확(폭),AQ2-050,수성 현수막원단 2코팅,
외부용 SMPS(방수) [300wt],3,1920000,미매칭,SGM-SMPS-W200,외부용 SMPS(방수) 200wt (후보),
현수막 1코팅-S [170폭],4,1892000,정확(폭),AQ1-170,수성 현수막원단 1코팅,
무광 코팅지 자동용(45m/180g)-호홍 [127폭],5,1782300,미매칭,,,
조도향상시트(LDJ90DF) [1220mm],1,1737000,미매칭,LDJ90DF-122,조도향상시트 LDJ90DF (후보),
SPM022G [127폭],12,1724200,폭불일치-확인,SPM022G-105,그레이시트 SPM022G,
LED형광등 [20w-단면],2,1700000,미매칭,SGM-LEDF-F28D,LED형광등 28W양면돌출 (후보),
광확산PC1.8T [1220*2420],2,1675000,미매칭,PC-2T-M-48,광확산PC (후보),
수성잉크 Y-peb,1,1632000,미매칭,,,
수성 현수막 [250폭],1,1618500,미매칭,AQ-BANNER,수성 현수막 (후보),
수성잉크 C(ITP-개별포장),1,1612800,미매칭,,,
수성잉크 M(ITP-개별포장),1,1612800,미매칭,,,
수성잉크 Y(ITP-개별포장),1,1612800,미매칭,,,
수성잉크 C,2,1608000,미매칭,,,
E4 엠보 무광(45m/200g) [127폭],1,1582500,미매칭,JG-E4-P60,E4 엠보 무광(45m/200g) 60폭 (후보),
수성잉크 M-peb,1,1536000,미매칭,,,
합성지(30m)-호홍 [127폭],6,1532220,미매칭,SYN-060,합성지 30M 호홍 (후보),
수성잉크 M,1,1512000,미매칭,,,
PVC(켈) 그레이-프라임 [127폭],1,1500000,미매칭,PJ-KELGR-P60,PVC(켈) 그레이-프라임 60폭 (후보),
SPP031M [150폭],8,1494700,폭불일치-확인,SPP031M-090,무광코팅지 SPP031M,
PVC(켈)(30m)-호홍 [90폭],5,1480600,미매칭,KEL-060,켈 30M 호홍 (후보),
무광코팅지 일반엠보(45m/180g) [127폭],1,1470000,미매칭,HJ-MGILBO-P60,무광코팅지 일반엠보(45m/180g) 60폭 (후보),
현수막 1코팅-S [45폭],4,1457560,정확(폭),AQ1-045,수성 현수막원단 1코팅,
트러스바 [400mm*7m/검정],2,1455000,미매칭,SGM-TRW-BK,트러스바 날개 흑색 (후보),
수성-현수막(장폭) [250폭],1,1449000,미매칭,AQ-BANNER,수성 현수막 (후보),
채널용 입체바 [흑색/80mm*3m],3,1440000,미매칭,,,
솔벤 현수막-TPM [152폭],2,1435500,미매칭,SV-BANNER,솔벤 현수막 (후보),
SPP031M [90폭],6,1413280,정확(코드),SPP031M-090,무광코팅지 SPP031M,
무광 코팅지 자동용(61m/120g)-호홍 [60폭],3,1404400,미매칭,,,
현수막 2코팅-S [140폭],4,1399280,정확(폭),AQ2-140,수성 현수막원단 2코팅,
PVC(켈)-프라임 [127폭],1,1395000,미매칭,PJ-KEL-P60,PVC(켈)-프라임 60폭 (후보),
LD59THG [137폭],4,1368960,미매칭,,,
수성잉크 C-peb,1,1344000,미매칭,,,
현수막 1코팅-S [130폭],3,1330600,정확(폭),AQ1-130,수성 현수막원단 1코팅,
5mm볼로프,1,1240000,미매칭,,,
PVC(켈) 그레이(30m)-호홍 [127폭],3,1235500,미매칭,KELG-060,켈그레이 30M 호홍 (후보),
EP115 [122폭],7,1186040,폭불일치-확인,EP115-100,엠보시트 EP115,
현수막 1코팅-S [50폭],4,1130870,정확(폭),AQ1-050,수성 현수막원단 1코팅,
SPM011G [150폭],7,1109340,폭불일치-확인,SPM011G-090,일반시트 SPM011G,
패트배너(30m)-호홍 [152폭],4,1094850,미매칭,PAT-060,패트배너 30M 호홍 (후보),
솔벤 현수막-TPM [200폭],1,1088820,미매칭,SV-BANNER,솔벤 현수막 (후보),
현수막 1코팅-S [140폭],3,1062000,정확(폭),AQ1-140,수성 현수막원단 1코팅,
패트배너(30m)-호홍 [60폭],4,1006200,미매칭,PAT-060,패트배너 30M 호홍 (후보),
