매입품목명,라인수,금액,상태,제안코드,최종지정코드
EP-시리즈 전사(피더기 포함) [EP1852],1,11000000,미매칭,,,
패트배너(30m)-호홍 [127폭],11,8556500,미매칭,,,
무광 코팅지 자동용(61m/120g)-호홍 [127폭],6,6672700,미매칭,,,
PVC(켈)(30m)-호홍 [127폭],11,6192940,미매칭,,,
상바,5,5040000,미매칭,,,
합성지 그레이(30m)-호홍 [127폭],8,3553200,미매칭,,,
실외배너 물통SET(복배너) [60*180],2,3535000,미매칭,,,
실내배너 일자형(W) [60*180],2,3330000,미매칭,,,
LED형광등 [28w-양면(돌출)],4,2600000,미매칭,,,
LED 3구(백색) [1w],5,2450000,미매칭,,,
솔벤 현수막-TPM [250폭],2,2422900,후보(솔벤→SV),SV,,
솔벤 현수막-TPM [320폭],2,2410550,후보(솔벤→SV),SV,,
수성잉크 Y,1,2160000,후보(잉크→RM),RM,,
하바,3,2096000,미매칭,,,
카바,5,2088000,미매칭,,,
외부용 SMPS(방수) [300wt],3,1920000,미매칭,,,
무광 코팅지 자동용(45m/180g)-호홍 [127폭],5,1782300,미매칭,,,
조도향상시트(LDJ90DF) [1220mm],1,1737000,미매칭,,,
LED형광등 [20w-단면],2,1700000,미매칭,,,
광확산PC1.8T [1220*2420],2,1675000,미매칭,,,
수성잉크 Y-peb,1,1632000,후보(잉크→RM),RM,,
수성잉크 C(ITP-개별포장),1,1612800,후보(잉크→RM),RM,,
수성잉크 M(ITP-개별포장),1,1612800,후보(잉크→RM),RM,,
수성잉크 Y(ITP-개별포장),1,1612800,후보(잉크→RM),RM,,
수성잉크 C,2,1608000,후보(잉크→RM),RM,,
E4 엠보 무광(45m/200g) [127폭],1,1582500,미매칭,,,
수성잉크 M-peb,1,1536000,후보(잉크→RM),RM,,
합성지(30m)-호홍 [127폭],6,1532220,미매칭,,,
수성잉크 M,1,1512000,후보(잉크→RM),RM,,
PVC(켈) 그레이-프라임 [127폭],1,1500000,미매칭,,,
PVC(켈)(30m)-호홍 [90폭],5,1480600,미매칭,,,
무광코팅지 일반엠보(45m/180g) [127폭],1,1470000,미매칭,,,
트러스바 [400mm*7m/검정],2,1455000,미매칭,,,
채널용 입체바 [흑색/80mm*3m],3,1440000,미매칭,,,
솔벤 현수막-TPM [152폭],2,1435500,후보(솔벤→SV),SV,,
무광 코팅지 자동용(61m/120g)-호홍 [60폭],3,1404400,미매칭,,,
PVC(켈)-프라임 [127폭],1,1395000,미매칭,,,
LD59THG [137폭],4,1368960,미매칭,,,
